(-0.07436340302228928, 0.005505088251084089) %, 6.389345169067383] 
(-0.0740467980504036, 0.005100869573652744) %, 6.388918399810791] 
(-0.07418198138475418, 0.004039664287120104) %, 6.388148307800293] 
(-0.07450689375400543, 0.0033360596280544996) %, 6.387363433837891] 
(-0.07463829964399338, 0.002156055998057127) %, 6.3857293128967285] 
(-0.0744236558675766, 0.0015703750541433692) %, 6.385136127471924] 
(-0.07449103146791458, 0.0003162242064718157) %, 6.384341716766357] 
(-0.07470430433750153, -0.0004729387001134455) %, 6.383492946624756] 
(-0.07467381656169891, -0.001747012953273952) %, 6.382705211639404] 
(-0.07438860833644867, -0.0023648664355278015) %, 6.382472038269043] 
(-0.0742579996585846, -0.00350097194314003) %, 6.38209342956543] 
(-0.07457729429006577, -0.004455531947314739) %, 6.381394386291504] 
(-0.074611134827137, -0.005516294855624437) %, 6.3804497718811035] 
(-0.07437083125114441, -0.006079115439206362) %, 6.380019187927246] 
(-0.0742870643734932, -0.007006071973592043) %, 6.379828453063965] 
(-0.07461035251617432, -0.007568967062979937) %, 6.379669666290283] 
(-0.07478029280900955, -0.008363394998013973) %, 6.379034996032715] 
(-0.07460058480501175, -0.008689286187291145) %, 6.378899574279785] 
(-0.0743548721075058, -0.009288238361477852) %, 6.378556728363037] 
(-0.07466787844896317, -0.009901195764541626) %, 6.378297805786133] 
(-0.07479855418205261, -0.01076312642544508) %, 6.378509998321533] 
(-0.07457813620567322, -0.01109043788164854) %, 6.378912925720215] 
(-0.07432039827108383, -0.011877519078552723) %, 6.379178524017334] 
(-0.07462508231401443, -0.012913810089230537) %, 6.378890514373779] 
(-0.0747634693980217, -0.014548403210937977) %, 6.378711700439453] 
(-0.07457301020622253, -0.015326823107898235) %, 6.378571033477783] 
(-0.07414482533931732, -0.016423732042312622) %, 6.378561019897461] 
(-0.07471974194049835, -0.01770196296274662) %, 6.377961158752441] 
(-0.07506278157234192, -0.019042406231164932) %, 6.377382755279541] 
(-0.0750138908624649, -0.019724596291780472) %, 6.377006530761719] 
(-0.07479128241539001, -0.020573081448674202) %, 6.376183986663818] 
(-0.07542946189641953, -0.021527152508497238) %, 6.37552547454834] 
(-0.07588512450456619, -0.022487228736281395) %, 6.374598979949951] 
(-0.0759350061416626, -0.022910792380571365) %, 6.3736186027526855] 
(-0.07557855546474457, -0.023162227123975754) %, 6.371788024902344] 
(-0.0756666511297226, -0.023867005482316017) %, 6.370882987976074] 
